name,sku,base_price,sale_price,description,specifications,images,colors
Laptop Dell Pro 13 Plus PB13250-236V-16512W,laptop-dell-pro-13-plus-pb13250-236v-16512w,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_2_92.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_1__1_51.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_2__1_49.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_3__1_47.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_8__67.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_7__82.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_6__98.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_4__1_41.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_5__1_40.png""]","{""product_color_1"": {""color"": ""Bạc"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/s/ssss_2_93.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/s/s/ssss_2_93.png"", ""product_url"": ""https://cellphones.com.vn/laptop-dell-pro-13-plus-pb13250-236v-16512w.html?product_id=125806"", ""price"": ""33.990.000₫""}}"
Laptop Dell 15 DC15250 H5YXJ - Nhập khẩu chính hãng,laptop-dell-15-dc15250-h5yxj,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_2__10_104_4_4.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_3__8_87_3_3.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_9__9_276_3_3.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_4__8_93_3_3.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_5__10_82_3_3.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_8__8_60_3_3.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_6__5_76_3_3.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_7__5_63_3_3.png""]","{""product_color_1"": {""color"": ""Đen"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_2__10_104_4_5.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_2__10_104_4_5.png"", ""product_url"": ""https://cellphones.com.vn/laptop-dell-15-dc15250-h5yxj.html?product_id=123150"", ""price"": ""22.990.000₫""}}"
Laptop Dell 15 DC15250 71084746,laptop-dell-15-dc15250-71084746,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_1_123_1_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_2__94_1_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_1__96_1_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_3__89_1_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_5__70_1_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_4__83_1_1.png""]","{""product_color_1"": {""color"": ""Bạc"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/s/ssss_1_123_3.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/s/s/ssss_1_123_3.png"", ""product_url"": ""https://cellphones.com.vn/laptop-dell-15-dc15250-71084746.html?product_id=121206"", ""price"": ""22.490.000₫""}}"
Laptop Dell 14 DC14255 R7165W11SLU,laptop-dell-14-dc14255-r7165w11slu,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_1_139.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_1__107.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_2__101.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_3__96.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_6__64.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_7__54.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_8__43.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_5__77.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_4__90.png""]","{""product_color_1"": {""color"": ""Bạc"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/s/ssss_1_140.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/s/s/ssss_1_140.png"", ""product_url"": ""https://cellphones.com.vn/laptop-dell-14-dc14255-r7165w11slu.html?product_id=120786"", ""price"": ""25.490.000₫""}}"
Laptop Dell 15 DC15255 G8MK9 - Nhập khẩu chính hãng,laptop-dell-15-dc15255-g8mk9,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_1_121_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_2__93_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_1__95_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_3__88_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_5__69_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_4__82_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_6__58_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_7__49_1.png""]","{""product_color_1"": {""color"": ""Đen"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/s/ssss_1_121_2.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/s/s/ssss_1_121_2.png"", ""product_url"": ""https://cellphones.com.vn/laptop-dell-15-dc15255-g8mk9.html?product_id=126945"", ""price"": ""19.490.000₫""}}"
Laptop Dell 15 DC15250 71073959,laptop-dell-15-dc15250-71073959,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_2__10_54.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_3__8_42.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_4__8_43.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_5__10_39.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_6__5_42.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_7__5_34.png""]","{""product_color_1"": {""color"": ""Bạc"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_2__10_55.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_2__10_55.png"", ""product_url"": ""https://cellphones.com.vn/laptop-dell-15-dc15250-71073959.html?product_id=110503"", ""price"": ""23.590.000₫""}}"
Laptop Dell 16 DC16250 71076092,laptop-dell-16-dc16250-71076092,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_2_73.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_2__1_36.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_1__1_38.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_3__1_35.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_4__1_30.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_6__89.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_5__1_29.png""]","{""product_color_1"": {""color"": ""Đen"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/s/ssss_2_74.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/s/s/ssss_2_74.png"", ""product_url"": ""https://cellphones.com.vn/laptop-dell-16-dc16250-71076092.html?product_id=124238"", ""price"": ""25.490.000₫""}}"
Laptop Dell Inspiron 14 5441 N4O10441W1,laptop-dell-inspiron-14-5441-n4o10441w1,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_12__8_90_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_14__9_86_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_13__8_77_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_15__7_264_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_20__5_116_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_17__8_156_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_16__6_212_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_18__7_56_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/t/e/text_ng_n_19__5_49_1.png""]","{""product_color_1"": {""color"": ""Xám"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_2__11_35.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/t/e/text_ng_n_2__11_35.png"", ""product_url"": ""https://cellphones.com.vn/laptop-dell-inspiron-14-5441-n4o10441w1.html?product_id=116817"", ""price"": ""26.290.000₫""}}"
Laptop Dell 16 DC16251 DC6C7557W1,laptop-dell-16-dc16251-dc6c7557w1,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_1_133.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_1__104.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_2__98.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_3__93.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_4__87.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_5__74.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_6__61.png""]","{""product_color_1"": {""color"": ""Bạc"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/s/ssss_1_132.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/s/s/ssss_1_132.png"", ""product_url"": ""https://cellphones.com.vn/laptop-dell-16-dc16251-dc6c7557w1.html?product_id=120740"", ""price"": ""30.290.000₫""}}"
Laptop Dell 14 DC14250 C7U161W11SLU,laptop-dell-14-dc14250-c7u161w11slu,,,,,"[""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_1_136_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_1__106_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_2__100_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_3__95_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_6__63_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_7__53_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_8__42_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_4__89_1.png"", ""https://cdn2.cellphones.com.vn/x/media/catalog/product/s/s/ssss_5__76_1.png""]","{""product_color_1"": {""color"": ""Bạc"", ""image_url"": ""https://cdn2.cellphones.com.vn/insecure/rs:fill:50:50/q:90/plain/https://cellphones.com.vn/media/catalog/product/s/s/ssss_1_138.png"", ""image_url_display"": ""https://cellphones.com.vn/media/catalog/product/s/s/ssss_1_138.png"", ""product_url"": ""https://cellphones.com.vn/laptop-dell-14-dc14250-c7u161w11slu.html?product_id=120779"", ""price"": ""28.990.000₫""}}"
